8573.2,8439.2,8613.5,8217.4,8159.9,8121,7733.6,8320.9,8858.3,8088.3,7581.9,8404.8,8104.4,8710.2,8048,8727.2,8913,9673.2,8563,8127.4,8539.4,8898.9,8199.3,8028.4,9023.1,8128.3,9217.9,8643.4,8279.5,8104.6,8258.6,7878.1,7529.8,7925.5,8374.2,0,7639.2
8513.7,8282.5,8487.1,8155.7,8100.5,7995.9,7981.9,8166.5,8855.3,7554,7765.9,8132.5,7829.6,8434.7,7804.5,8396.6,8708.4,9684.1,8609.2,8079.5,8286.8,8756,8135.5,7926.1,8875.8,7942.4,8794.5,8520,8190.1,8047.7,8267.5,7985.9,7402.8,7872.9,8299.8,0,7549.7
8396.7,8080,8230.9,7937.9,7945.9,7991,7668.3,8079.5,8727.8,7629.1,7721.7,7991.1,7625,8314.5,7775.5,8206.4,8643.9,9212.7,8437.2,8045.9,8050,8563.7,8025.1,7934.6,8734,7658.8,8868.1,8311.4,8223,7915.4,8231.4,7686.7,7382.3,7741.5,8098.6,0,7552.3
8230.4,8011.6,8031,7779.2,7817.9,7645,7407.5,8047.8,8336.3,7675.1,7346.4,8198.2,7816.5,8250,7641.1,8199.8,8155.7,8668.2,8288.8,7784.6,8018.5,8538.1,8020,7850,8638.3,7868.9,8549.9,8248.2,8011.3,7858.4,7988.2,7742.1,7214.6,7663.2,7872.1,0,7537.2
8738.6,8502.1,8359.5,8525.3,8312.6,8275.4,8103.5,8414.6,8849.4,7786.6,7797.5,8374.2,8135.1,8344.5,8196.5,8474.8,8675.5,9213.4,8515.1,8280.7,8719.2,9140.8,8537.3,8317.7,9037.4,8155.1,8681.1,8844.3,8328.6,8219.3,8425.2,7881.2,7677.5,8250.2,8368.2,0,7755.5
8606.6,8505.4,8810.7,8736,8445.3,8602.4,8595.2,8539.2,9550.9,8062.6,8440.8,8214.5,9062,8592,8665.8,8747.9,8639.1,9274.5,8635.5,9125.8,8750.2,9334,8718.6,8275.1,9329.5,8293.4,8825.8,9199.5,8338.9,8460.1,8697.2,8040.6,7946.2,8633.9,8498.9,0,7867.2
7979,7584.9,8147,8521.6,7739.9,8561.7,8271.5,8810,9574.2,7922.6,8213.4,7607.3,8674.8,8248.8,8449.8,8209.3,7919.7,8650.6,8191.1,8044.1,8568.3,8698.9,8208.8,7645.5,8977.6,7511.3,8104.8,9017.3,7599.5,8234.1,8225.2,7789.5,7206.7,8209.4,7760,0,7640.7
7846.9,7370.2,7861.4,8160.7,7461.6,7810.4,7863.5,8289.4,8306.4,7624.6,7536.9,7861.8,8134.4,7564.5,7832.3,7725.3,7623,8354.8,7773.3,8076.2,7911.1,8294.3,8033.3,7424.8,8474.5,7250.8,7849.6,8683.6,7715.9,8035.6,7724.4,7428.9,7130.9,7944.3,7354.9,0,7412.8
7629.3,7259.3,7676.7,7752.8,7292.1,7391,7114.3,7492.3,7982.9,7162.8,7064.3,7325.7,7689.7,7492.2,7442.4,7459.2,7768.3,8175,7418.5,7484,7446.7,8045.6,7610.4,7151.5,7944.5,7042.4,7797.5,7865.1,7286.6,7676.3,7537.8,7011.7,6836.6,7517.3,7386.5,0,6904.6
7457.2,7057.6,7126.8,7442.7,7024.3,7220.8,6961.1,7070.6,7669.4,6864.3,6873.4,7157.6,7228.2,7273.5,7277.7,7313.3,7324.6,7938.3,7344.9,7109.6,7188.8,7767.6,7391.9,7006.6,7837,6797.4,7491.2,7658.6,7140.6,7528.4,7156.3,6805.3,6679.1,7250.2,7097.8,0,6750.5
7359.1,7062.2,7211.6,7436,7113.9,7101.7,6754.2,7202.5,7810.4,6843.8,6904.4,7141.2,7217.2,7117.3,7184.6,7294.5,7286.4,7955.2,7165.2,7116.1,7165.2,7752.5,7424.8,7208.6,7897.8,6937.8,7727.4,7602.5,7222.7,7014.6,7143.4,6743.4,6522.3,7231.5,7005.7,0,6826.4
7327.2,7106.7,7280.8,7236.5,6879.7,6946.6,6618.9,7031.2,7417.1,6665.3,6826.7,7260,7042.3,7180.3,7148.8,7252.3,7249.8,7928,7108.7,7012.7,7207.7,7582.1,6792.9,6863.7,7643.9,6781.2,7815.1,7566,6947.2,7124.9,7065.8,6764.6,6609.5,7023.7,6928.9,0,6663.1
7207.7,7097.4,7256.8,7185.3,6917.1,6868.9,6774.1,7067.5,7420,6885,6855.1,7042.7,6930.2,7070.8,7112.1,7257.8,7261.1,7941,7258.4,7106.6,7263.1,7583.3,6619,6931,7664.8,6798.8,7579.4,7443.9,7053.2,7188,7197.9,6879.4,6519.9,7165.7,7000.3,6998.1,6618.8
7147.7,7047,7124.1,7068.4,6990.3,6724.6,6785.8,7025.5,7250,6674.1,6782.7,7205.7,7078.9,7187.8,6968.7,7268.2,7154.9,7808.7,7303.3,7093.9,7114.1,7485.6,6728.7,6853,7603.1,6799.4,7933.9,7452.4,7022.1,7160.5,6999.1,6883.8,6488.8,7041.7,6925.8,7150.7,6687.1
