12427,9614.1,10216,11168,10583,9647.7,11646,9705.9,9696.9,13690,13030,10587,11173,13162,12002,11517,11733,12037,0,12893,10574,12557,13481,11236,11372,10652,10361,0,9559.5,10195,10064,9445.7,9387,15349,9479.3,13497,10560,13955,9274,10910,11672,10806,10581,9042.1,9274.4,0,0,9835.2
11720,9332.7,9885.2,10205,9985.3,9136.5,10867,9444.8,9483,12967,12521,9745.2,10649,12322,11602,10943,11130,11512,0,12383,10082,12209,12567,10709,10784,10392,9742.6,0,9244.6,9646.8,9625.7,9184.6,9025.5,14906,9277.6,12814,10283,13444,9071.5,10735,10916,10391,10461,8696.2,8902.2,8975.9,8640.4,9194.5
11910,9313.6,9702.7,10249,10018,9161,10733,9180.9,9241,12944,12146,9774.5,10562,12404,11283,10932,10655,11209,0,12169,9698.6,12050,12341,10401,10508,10174,10183,0,9082.1,9440.3,9416.7,9019.6,8518.5,15307,9007.7,12394,9920.4,13246,8959.7,10691,10874,10400,10227,8716.8,8853.7,8801.3,8471.9,9251.9
11444,9066.5,9434.5,9841.2,9759.7,8766.9,10634,8914.2,9099.3,12547,11701,9736.7,10101,12040,11115,10607,10689,11066,10996,11648,9492.7,11470,12394,10127,10326,9932.4,9122.5,9765.8,8570.6,9433.6,9187.8,8851.2,8612.6,14542,8929.5,12156,9920.4,12903,8806.6,10337,10413,10050,9756.6,8258.2,8558.9,8654.7,8341.6,8820.2
11343,9135.9,9442.4,9716.1,9702.9,8728.4,10258,8886.3,9012,11776,11314,9571.2,10514,11516,10708,10474,10128,10924,9464.1,11510,9309.1,11317,11842,9772.3,10164,9691.2,9055,9447,8706,9248.7,8998.8,8756.1,8557.9,14439,8666.8,12273,9634.2,12682,8738.6,10050,10324,9842.8,9735.8,8357.9,8392.7,8679.1,8148.9,8987
11135,8524.2,9210.8,9747.2,9396.1,8731.8,10130,8793.4,8902.8,11629,11121,8975.7,9953.2,11307,10456,9919.7,10049,10856,9596.9,11261,9173.9,10953,11656,9863.3,10003,9405.7,9111.5,9231.1,8585,9061.7,8914.8,8701.9,8427.6,14298,8446.2,11881,9479.9,12386,8724.2,9829.5,9989.3,9626.9,9402.6,8319.5,8399.7,8506,0,8798.1
11048,8847.3,9002.9,9702.6,9230.2,8448.4,10018,8741.5,8698.7,11715,11196,9371.3,9914.3,11502,10382,10247,10056,10502,9244.7,11452,9117.9,10973,11387,9876,9874.9,9370.9,8855.6,9245.5,8502.2,8925,8660.6,8448.5,8498.9,14247,8526.1,11713,9386.1,12242,8421,9890.8,10044,9378,9417.5,8161.6,8297.8,8403.5,0,8673.8
10564,8457,8829.9,9325,9022.4,8338.5,9598.6,8625.6,8446.4,11297,10637,9003.1,9596.7,10747,10141,10045,9804.4,10158,9083.6,10902,8945,10727,11018,9659.3,9589.4,9265.1,8894.7,8908.5,8403.4,8792.4,8769.2,8445.9,8329.5,14016,8183.6,11602,9081.1,11978,8291.1,9414.5,10346,9287.6,9220.4,7902.7,8120.3,8468.6,0,8411.7
10280,8280.5,8457.2,9290.4,8779,8131.2,9331,8298,8243.9,10999,10573,8916.6,9180.3,10670,9941.9,9556.3,9583.6,9848.1,8990.7,10476,8702.2,10406,10628,9452.8,9531.4,8879,8495.9,8862.8,8168.3,8650.4,8543.5,8155.8,7770.5,13710,8299,11124,8731.8,11359,8288.1,9224.4,9938,9149.2,8778.1,7689.8,7946.8,8183.8,7834.5,8122
10216,8415.3,8462.5,9012.3,8720.6,8071.9,9347.7,8176.8,7904.1,10824,10361,8789.3,9298,10562,9696,9235.4,9352.3,9772.6,8445.3,10317,8737.7,10321,10564,9011.5,9183.4,8664,8276.7,8721.5,8094.2,8383.8,8355.4,7992.4,7883.5,13787,7811.2,10684,8820,11430,8057.2,9251.8,9799.7,8894,8727.9,7510.1,7847.8,7915.7,7791.9,8322.7
9952.4,8355.1,8456.1,8729.9,8783.5,7964.5,9241.9,8245.6,7997.8,10328,10229,8391.8,9171,10360,9771.9,9368.3,9216.4,9515.2,8400,10130,8560.4,10346,10034,8920.8,9182.7,8515.2,8278.2,8428,7984.1,8315.9,8082.6,8072.1,8001.5,13022,7879.7,10913,8700,11501,7995.4,9137.5,9919.3,8770.3,9034,7568.1,7701.8,7998.2,7768.1,8032.3
9818.3,7910.1,8169.9,8735.2,8514.8,7738.9,8963.9,7930.7,7784.4,10234,9999.4,8424.6,9231.5,10024,9413.5,9189.8,8869.6,9436.6,8222.1,9961.1,8402.4,10022,10136,8863.3,9012.5,8403.1,8149.8,8481.2,7884.4,8033.4,7865.8,7572.2,7680.1,13111,7787.3,10325,8423,10784,7680.9,8916.3,8216.8,8463.4,8436.1,7277.5,7756.4,7771.1,7431.5,7969.9
9349.8,7759.5,7993.8,8582.4,8278.9,7694.8,8998.8,7536.9,7482.6,10035,9512,8163.6,8764.7,9946.7,9113.5,8880.1,8344.5,9211.8,8101.3,9756.7,8199.5,9803.4,9810.4,8560.8,8753.6,8425.2,8175.8,8266.3,7675.2,7736.2,7877.4,7490.5,7604,13061,7556.2,10352,8149.9,10911,7477.5,8779.2,7886.8,8461.6,8310,7060.4,7412.4,7735.1,7657.6,7816.4
9298.2,7896.5,7992.2,8519.4,8291.3,7759.8,8876.4,7809.1,7627.5,10263,9709.8,8133.5,9041,9971.3,9423.8,8869.4,8147.3,9004.2,8026,9697.7,8233.5,9688.6,9700.2,8504.7,8860,8383.5,8114.9,8293.3,7743,7911.3,7900.9,7532.7,7525.7,13045,7473,10209,7981,10452,7508.8,8714.7,8034.2,8299.5,8401,7097,7542.3,7741.2,7354.7,7613.3
